homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol)
-8.228178973,-3.955447105,2.668800117,3.992917184,3.907636699,3.925378523,-26699.17376,-26696.6968,-26697.11822,7.073965536,7.007645421,7.650573982,2.391678672,1.987998789,-0.17724807,2.214430602,1.810750719,-2.745037121,-5.136715793,-4.733035911,-981.071563,-981.241446,-980.794288,-980.986124,-981.001929,43.69596171,53.61374145,-106.6031114,173.992558
-6.37862105,-3.549181108,2.141000094,4.731080458,4.689855208,4.684059183,-33177.50831,-33175.70462,-33176.4433,5.388973773,5.405839717,11.02984448,1.762465635,1.017985579,-0.719053982,1.043411653,0.298931597,-1.060543467,-2.823009102,-2.078529046,-1219.119925,-1219.269897,-1218.904554,-1219.054324,-1219.082456,23.51213472,41.16521791,-94.10877975,135.1472408
-7.034687572,-4.188104457,2.070300091,4.397768188,4.362883191,4.357005532,-54229.95823,,-54229.03581,2.797974777,3.141104653,7.215755185,,0.881659255,-0.100838498,,0.780820757,-1.67206495,,-2.553724205,-1992.806134,-1992.978825,-1992.56829,-1992.744838,-1992.772121,21.34346362,38.46379166,-108.3651567,149.2492506
-6.412907397,-3.495302563,2.142100094,5.477788108,5.453297861,5.436943817,-34246.08266,,-34244.86105,5.301917764,4.120907723,12.49489229,,1.180760009,-0.755789353,,0.424970656,-1.106476287,,-2.287236297,-1258.363799,-1258.512421,-1258.14674,-1258.30631,-1258.320177,27.3731976,36.0748649,-93.2616426,136.206476
-7.695924258,-4.191641937,2.687100117,4.670045319,4.60490126,4.595050738,-31688.03885,-31685.68285,-31686.44972,2.296329478,2.732533691,4.61359096,2.290853439,1.514129968,-0.094389399,2.19646404,1.419740568,-2.373683333,-4.664536773,-3.887813301,-1164.393533,-1164.57172,-1164.134304,-1164.315726,-1164.343203,31.58252797,48.82459276,-111.8139462,162.6685306
-7.353060791,-4.293684636,2.212700097,4.240595221,4.205410899,4.163478153,-26561.03267,,-26559.49539,6.221592184,5.483238177,20.93221952,,1.460164074,0.01061934,,1.470783415,-1.925838338,,-3.386002413,-975.989684,-976.166471,-975.742514,-975.930237,-975.936459,33.39916652,37.30352752,-110.9354336,155.1013995
-7.73129906,-4.209057225,2.150000094,3.778355403,3.759552335,3.715605946,-40537.30243,,-40535.80518,5.726306141,6.120459654,5.521295832,,1.434499928,-0.043776221,,1.390723707,-2.293083207,,-3.727583135,-1489.628639,-1489.803427,-1489.367973,-1489.57198,-1489.576858,32.49304353,35.55403243,-109.6810431,163.570261
-6.270591847,-4.066197447,1.512100066,5.916816614,5.93774217,5.88179556,-28131.52559,-28130.61666,-28130.79093,4.334516298,7.564264446,23.55149743,0.929859134,0.699643381,-0.21158884,0.718270294,0.488054541,-0.834362425,-1.764221559,-1.534005805,-1033.645851,-1033.814472,-1033.438792,-1033.611644,-1033.621177,15.48315707,21.46520036,-105.8111951,129.931386
-7.050470176,-4.237901294,2.046400089,6.483520944,6.432962188,6.419927934,-40425.04087,-40423.38618,-40424.0635,5.364972073,4.658681147,3.05384861,1.60413099,0.913771412,-0.010333427,1.593797563,0.903437984,-1.644554239,-3.248685229,-2.55832565,-1485.410557,-1485.586574,-1485.173724,-1485.351063,-1485.377722,20.60425801,37.33302045,-110.4522517,148.614839
-6.926386255,-3.656121856,2.462500108,6.550297686,6.49522184,6.481452879,-40320.96246,,-40319.61758,10.2754857,10.7562508,12.04257778,,1.276031427,-0.562670145,,0.713361281,-1.475544319,,-2.751575745,-1481.575994,-1481.731713,-1481.345372,-1481.498106,-1481.529809,28.98150317,48.87542099,-97.71507397,144.7173806
