homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-8.228178973,-3.955447105,2.668800117,7.073965536,7.007645421,7.650573982,2.391678672,1.987998789,43.69596171,53.61374145,-106.6031114,173.992558,4.272731868
-6.37862105,-3.549181108,2.141000094,5.388973773,5.405839717,11.02984448,1.762465635,1.017985579,23.51213472,41.16521791,-94.10877975,135.1472408,2.829439942
-7.034687572,-4.188104457,2.070300091,2.797974777,3.141104653,7.215755185,,0.881659255,21.34346362,38.46379166,-108.3651567,149.2492506,2.846583115
-6.412907397,-3.495302563,2.142100094,5.301917764,4.120907723,12.49489229,,1.180760009,27.3731976,36.0748649,-93.2616426,136.206476,2.917604834
-7.695924258,-4.191641937,2.687100117,2.296329478,2.732533691,4.61359096,2.290853439,1.514129968,31.58252797,48.82459276,-111.8139462,162.6685306,3.504282321
-7.353060791,-4.293684636,2.212700097,6.221592184,5.483238177,20.93221952,,1.460164074,33.39916652,37.30352752,-110.9354336,155.1013995,3.059376155
-7.73129906,-4.209057225,2.150000094,5.726306141,6.120459654,5.521295832,,1.434499928,32.49304353,35.55403243,-109.6810431,163.570261,3.522241835
-6.270591847,-4.066197447,1.512100066,4.334516298,7.564264446,23.55149743,0.929859134,0.699643381,15.48315707,21.46520036,-105.8111951,129.931386,2.2043944
-7.050470176,-4.237901294,2.046400089,5.364972073,4.658681147,3.05384861,1.60413099,0.913771412,20.60425801,37.33302045,-110.4522517,148.614839,2.812568882
-6.926386255,-3.656121856,2.462500108,10.2754857,10.7562508,12.04257778,,1.276031427,28.98150317,48.87542099,-97.71507397,144.7173806,3.270264399
-6.934821785,-4.166335348,2.085800091,10.69183108,10.52854058,20.85757845,1.72274542,1.10312538,25.18632873,39.97044077,-107.5964582,148.8206619,2.768486437
-6.424064065,-4.046605249,1.61220007,13.35834232,13.31651069,24.56779451,,0.811065027,18.56234373,28.49455618,-105.872691,135.7220391,2.377458816
-7.12965531,-3.894221486,2.438200107,7.880526087,7.802756912,17.56657545,2.034078855,1.473456564,32.36189415,45.97695692,-102.3096949,152.2945518,3.235433824
-7.289658261,-3.716531133,2.581800113,12.3598,12.40070002,21.2932,,1.734673627,38.7938614,49.19105802,-98.80317458,158.6794558,3.573127128
-5.852897068,-3.712177312,1.438700063,10.25915505,,18.6212026,,0.502601923,10.90987147,,-97.99933555,,2.140719756
-5.598470606,-3.556528182,1.411400062,20.57404226,19.18936225,30.45077578,1.099100586,0.47113522,11.36418799,26.02405325,-93.62246027,119.681654,2.041942424
-7.845858996,-4.115177942,2.689200118,13.37946169,13.37781356,12.90451508,,1.263007785,27.82312155,55.69895386,-108.697109,170.0354862,3.730681054
-6.367464382,-3.543466717,2.181700095,12.62079961,11.80929559,21.36722557,,1.107108311,25.17377855,42.32673707,-93.87346387,136.8364951,2.823997665
-6.717130695,-3.579657861,2.269200099,3.431696841,4.509477928,11.92324615,1.81344933,1.384590708,31.3685474,42.4547489,-95.78736632,142.9929859,3.137472834
-7.935384457,-3.655849742,2.818600123,3.110355578,1.746886442,,2.017473923,,,47.52753166,-97.60463239,,4.279534715
-6.557944085,-4.057761917,1.848000081,15.33589405,14.88881418,27.23447457,,0.900216876,20.9588006,35.04826018,-106.1004767,138.2854133,2.500182168
-6.776723631,-4.240622433,1.792400078,1.004000324,2.186900011,9.595800007,1.471575379,0.892606123,19.38438052,33.22346401,-111.7028771,143.5238585,2.536101198
-6.73019216,-4.03898606,1.999700087,9.933181149,10.84607267,21.33383297,,0.831576154,19.15659475,34.83741715,-105.1943537,138.2439978,2.6912061
-7.320679242,-3.778573094,2.695400118,5.765645953,5.968044408,7.715632322,2.287593453,1.592418786,36.48713831,54.13582894,-99.13826438,157.2694431,3.542106148
