Real,Predict
-106.6031114,-103.85780922996395
-94.10877975,-94.67075462873791
-108.3651567,-109.11898248094774
-93.2616426,-93.45237765797307
-111.8139462,-109.19897692338381
-110.9354336,-111.50650906806752
-109.6810431,-109.59279575866299
-105.8111951,-106.36225076967385
-110.4522517,-110.24505816502071
-97.71507397,-97.08904830388383
-107.5964582,-108.62670895946215
-105.872691,-105.91920460259816
-102.3096949,-102.47328995219908
-98.80317458,-98.45510731526497
-97.99933555,-98.35665262905857
-93.62246027,-94.83689693573794
-108.697109,-107.46986618736305
-93.87346387,-94.54153283189194
-95.78736632,-95.35993756786308
-97.60463239,-97.08289488175592
-106.1004767,-106.17149477416216
-111.7028771,-110.30659236368642
-105.1943537,-105.74690885085681
-99.13826438,-99.85808685941356
-94.82414001,-95.85221108934866
-113.7623616,-113.8078877680099
-106.5905613,-106.64530802926402
-104.8893844,-104.31316224129544
-115.5400946,-116.84152336197285
-110.0782563,-110.28813209730268
-106.1946031,-106.1345742640081
-112.8029004,-112.79872705914049
-102.6987504,-102.42406259778919
-103.2333881,-103.45168357304233
-100.9737282,-102.0363971846379
-96.51339424,-95.66145509383699
-108.8740665,-108.60824871569183
-99.02468525,-98.76893168549468
-84.4903218,-86.44363340458479
-105.2056489,-106.92221188933966
-93.99018055,-94.0123388002523
-111.0992134,-110.50965518084053
-105.2778124,-105.57461312172889
-106.3056722,-106.51608623241805
-104.2581103,-104.6331400110397
-101.5485265,-102.4302160199171
-100.1441613,-99.78424583910541
-102.8261348,-102.59020490478922
-95.72147788,-96.12296152729641
-93.25411249,-93.7169746737929
-103.3770877,-104.15932675593784
-100.5388645,-100.6826450175126
-103.6293463,-103.55013828186213
-89.52984657,-85.60676842484331
-96.12935873,-96.45524614129647
-113.0972021,-114.04787111793148
-93.80004532,-94.25847554968838
-93.63501045,-93.96926486797031
-105.2282392,-106.4914725665198
-111.5491374,-111.98032232316936
-104.2926233,-104.19009384396401
-95.99444429,-96.49216665145055
-115.7622328,-115.4139301293126
-95.6606095,-94.79997642558386
-91.72989313,-91.98786393777216
-108.3758244,-109.05744828228204
-103.6406415,-103.81473529768195
-102.4446093,-102.03024378512339
-103.4561538,-103.60551903578654
-108.1285858,-107.97444655310446
-112.7683874,-113.43252922172786
-97.23565709,-97.45210002852346
-110.6135215,-110.140450034073
-97.34233362,-97.0705880375001
