Real,Predict
-3.955447105,-4.072509770653949
-3.549181108,-3.532937022364515
-4.188104457,-4.148604407147088
-3.495302563,-3.4963530630933857
-4.191641937,-4.297541771778893
-4.293684636,-4.259602851053277
-4.209057225,-4.205431491714248
-4.066197447,-4.0383105460474695
-4.237901294,-4.238736445949751
-3.656121856,-3.68867629181361
-4.166335348,-4.11540785259181
-4.046605249,-4.040966271275599
-3.894221486,-3.8870968485905104
-3.716531133,-3.7356663552279343
-3.712177312,-3.7009522427208115
-3.556528182,-3.5119351196040514
-4.115177942,-4.162939901019784
-3.543466717,-3.522774811239941
-3.579657861,-3.605427459963603
-3.655849742,-3.6839068276665596
-4.057761917,-4.050803288541747
-4.240622433,-4.292745207927713
-4.03898606,-4.011672001563443
-3.778573094,-3.750137343302735
-3.60142697,-3.5638301435268014
-4.39545522,-4.381684876159147
-4.078714684,-4.071967789526987
-3.975583531,-3.998501779421556
-4.529607355,-4.458456992299894
-4.239806091,-4.222585303857601
-4.056129234,-4.054868175064477
-4.350828547,-4.340250157515266
-3.892044575,-3.9038983671713074
-3.93748759,-3.9269869117376865
-3.874901401,-3.829402588174254
-3.59299144,-3.6367812683227125
-4.165519007,-4.170581881982041
-3.73040894,-3.7452323827943097
-3.185364874,-3.117560038963578
-4.090959808,-4.012159789328103
-3.520064925,-3.5278152681097428
-4.24960219,-4.266675747729611
-4.031366872,-4.015276199161932
-4.073000293,-4.0596647389156555
-3.989733451,-3.9712399529707643
-3.892316689,-3.8542254844388255
-3.775307728,-3.7935774072312665
-3.899391649,-3.9093995138290563
-3.61339998,-3.6025820411251086
-3.507003459,-3.4960278722579385
-3.968780684,-3.933192636883464
-3.815036352,-3.8106228240129347
-3.941841412,-3.9440865262001967
-3.148357389,-3.3351939473944925
-3.628094128,-3.6201965400334304
-4.406067661,-4.352959695051454
-3.530949479,-3.5196042015659987
-3.518160128,-3.5124771041858454
-4.071911838,-4.013135360538883
-4.314637403,-4.286105897016658
-3.970141253,-3.9727304107866264
-3.629726811,-3.614370205563212
-4.466476938,-4.468050120002252
-3.554895499,-3.5999534156011075
-3.430539464,-3.4302038448421808
-4.185383318,-4.149065096071328
-3.953542308,-3.944574313964857
-3.874629288,-3.8929231813333116
-3.944290436,-3.9366071382804657
-4.137491279,-4.138387997477964
-4.378856275,-4.338759699699404
-3.672176574,-3.667972480616318
-4.233275358,-4.2457009472644005
-3.655305514,-3.6725793495615715
-3.907282951,-3.9109170704853398
-3.42183182,-3.4286320896413476
-4.10728664,-4.067984199525521
-4.006332397,-3.98438308059077
-4.028645734,-4.014869712237076
-3.921704986,-3.9054430269865517
-3.942929867,-3.9434903430738517
