,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.35236073825928904,0.725726599025587,0.12277132196274088,0.12840590542278085,0.33118919420705095,0.5683090870290242,0.7033589172688486,0.699092205853846,0.590081382542124,0.3566284728417157,0.9650877002351781,0.8524502266938754
lumo (eV),0.35236073825928915,,0.03489124151677825,0.00869917585757729,0.0062907358299011396,0.013142289304870935,0.016360918415778358,0.04466772865435298,0.045757753309925264,0.02172640993858921,0.976568698418658,0.3391194908838724,0.05708944553557893
vertical_excitation_energy (eV),0.725726599025587,0.03489124151677825,,0.12053183258720745,0.14351264238360506,0.328454300726879,0.8928447967517199,0.7711516901238136,0.7646220212772616,0.900077855105413,0.03368155653424776,0.7266833087933084,0.8818869105107698
dipole_moment_norm_S0 (D),0.12277132196274088,0.008699175857576957,0.12053183258720779,,0.9188844011630607,0.4803638600985104,0.08608888203535758,0.09661568336690962,0.0981337854102371,0.10252527034708181,0.01031401116500652,0.10939014828715188,0.1430836529745073
dipole_moment_norm_S1 (D),0.12840590542278085,0.006290735829901251,0.14351264238360506,0.9188844011630607,,0.46021705669298396,0.09141162147445014,0.11140770682680079,0.11278619787732636,0.11101547631635456,0.00765202154804101,0.11699029410871242,0.15666347940449898
dipole_moment_norm_T1 (D),0.33118919420705106,0.013142289304871047,0.32845430072687887,0.4803638600985105,0.46021705669298396,,0.26560513934077645,0.2179703131315036,0.2203036992531643,0.2862312724257977,0.015814408192720952,0.3152522254716008,0.4100829450071779
0-0_S1 (eV),0.5683090870290242,0.016360918415778136,0.89284479675172,0.08608888203535758,0.09141162147445048,0.26560513934077656,,0.6425120767408314,0.6332231718664936,0.9939900560064006,0.012221365799412465,0.6200454350294138,0.7121752699905652
0-0_T1 (eV),0.7033589172688486,0.04466772865435287,0.7711516901238135,0.09661568336690951,0.11140770682680068,0.2179703131315035,0.6425120767408314,,0.9932318549247662,0.6632762813017337,0.04615011101331101,0.7256207274382735,0.8313371878254416
adiabatic_T1-S0 (kcal/mol),0.6990922058538461,0.04575775330992515,0.7646220212772615,0.09813378541023698,0.11278619787732658,0.22030369925316406,0.6332231718664936,0.9932318549247662,,0.6629076954526832,0.045400469443488745,0.7242218363630781,0.8234742031734512
adiabatic_S1-S0 (kcal/mol),0.5900813825421239,0.02172640993858921,0.900077855105413,0.10252527034708181,0.11101547631635433,0.2862312724257977,0.9939900560064006,0.6632762813017337,0.6629076954526831,,0.017485584048881786,0.6333864611603215,0.7387727863801892
reduction_S0 (kcal/mol),0.3566284728417155,0.976568698418658,0.03368155653424787,0.01031401116500652,0.00765202154804101,0.015814408192721063,0.012221365799412465,0.046150111013311235,0.045400469443488745,0.017485584048881675,,0.3380319073901098,0.06182792413025917
oxidation_S0 (kcal/mol),0.9650877002351781,0.3391194908838724,0.7266833087933086,0.10939014828715199,0.11699029410871242,0.3152522254716007,0.6200454350294138,0.7256207274382735,0.7242218363630781,0.6333864611603215,0.3380319073901098,,0.8255753346685157
lumo-homo (eV),0.8524502266938754,0.05708944553557915,0.8818869105107698,0.14308365297450765,0.15666347940449898,0.4100829450071778,0.7121752699905652,0.8313371878254416,0.8234742031734511,0.7387727863801892,0.06182792413025917,0.8255753346685157,
