,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.35236073825928904,0.725726599025587,0.12277132196274099,0.12840590542278085,0.33118919420705106,0.5683090870290242,0.7033589172688486,0.699092205853846,0.590081382542124,0.3566284728417155,0.00010116760838385641,0.8524502266938754
lumo (eV),0.35236073825928904,,0.03489124151677825,0.008699175857577068,0.006290735829901251,0.013142289304871047,0.016360918415778247,0.04466772865435298,0.04575775330992515,0.02172640993858921,0.976568698418658,2.8398291423981092e-06,0.05708944553557893
vertical_excitation_energy (eV),0.7257265990255869,0.03489124151677825,,0.12053183258720757,0.14351264238360517,0.328454300726879,0.89284479675172,0.7711516901238136,0.7646220212772615,0.900077855105413,0.03368155653424776,0.00018898604724337797,0.8818869105107698
dipole_moment_norm_S0 (D),0.12277132196274088,0.008699175857577068,0.12053183258720779,,0.9188844011630607,0.4803638600985105,0.08608888203535758,0.09661568336690951,0.09813378541023687,0.10252527034708203,0.010314011165006298,3.8477592068097977e-07,0.14308365297450754
dipole_moment_norm_S1 (D),0.12840590542278107,0.0062907358299010285,0.14351264238360506,0.9188844011630607,,0.46021705669298396,0.09141162147445014,0.11140770682680057,0.11278619787732636,0.11101547631635456,0.00765202154804101,1.0933856529060648e-06,0.15666347940449898
dipole_moment_norm_T1 (D),0.33118919420705106,0.013142289304870935,0.32845430072687876,0.4803638600985105,0.46021705669298396,,0.26560513934077634,0.2179703131315035,0.22030369925316418,0.2862312724257977,0.015814408192720952,0.0004189945530562733,0.4100829450071778
0-0_S1 (eV),0.5683090870290242,0.016360918415778136,0.89284479675172,0.08608888203535758,0.09141162147445026,0.26560513934077656,,0.6425120767408314,0.6332231718664936,0.9939900560064006,0.012221365799412465,6.347822068719644e-05,0.7121752699905652
0-0_T1 (eV),0.7033589172688486,0.04466772865435309,0.7711516901238135,0.09661568336690962,0.11140770682680068,0.2179703131315034,0.6425120767408314,,0.9932318549247662,0.6632762813017337,0.046150111013311235,4.80650538481342e-07,0.8313371878254416
adiabatic_T1-S0 (kcal/mol),0.699092205853846,0.04575775330992515,0.7646220212772615,0.09813378541023698,0.11278619787732647,0.2203036992531643,0.6332231718664936,0.9932318549247662,,0.6629076954526831,0.04540046944348897,1.4947344016968955e-06,0.8234742031734512
adiabatic_S1-S0 (kcal/mol),0.5900813825421239,0.021726409938588986,0.900077855105413,0.10252527034708181,0.11101547631635433,0.2862312724257977,0.9939900560064006,0.6632762813017337,0.6629076954526831,,0.017485584048881786,5.4720191643320426e-05,0.7387727863801892
reduction_S0 (kcal/mol),0.3566284728417155,0.976568698418658,0.03368155653424787,0.01031401116500641,0.007652021548041121,0.015814408192721063,0.012221365799412132,0.046150111013311235,0.045400469443488634,0.017485584048881897,,3.934895383284065e-05,0.06182792413025906
oxidation_S0 (kcal/mol),0.00010116760838374539,2.8398291417319754e-06,0.000188986047243489,3.8477592023689056e-07,1.0933856529060648e-06,0.00041899455305649536,6.347822068752951e-05,4.806505383703197e-07,1.4947344020299624e-06,5.472019164343145e-05,3.934895383284065e-05,,0.00012913637027367475
lumo-homo (eV),0.8524502266938754,0.05708944553557915,0.8818869105107698,0.14308365297450754,0.15666347940449898,0.4100829450071779,0.7121752699905652,0.8313371878254416,0.8234742031734511,0.7387727863801892,0.06182792413025906,0.00012913637027411884,
