Real,Predict
-8.228178973,-8.117799432793845
-6.37862105,-6.435206631062402
-7.034687572,-7.046052870958423
-6.412907397,-6.481089319002223
-7.695924258,-7.627310125285888
-7.353060791,-7.29954107933437
-7.73129906,-7.666368105684773
-6.270591847,-6.20927105904703
-7.050470176,-7.018572899823505
-6.926386255,-6.849751080793828
-6.934821785,-7.027488262859374
-6.424064065,-6.46010507057446
-7.12965531,-7.177961693380961
-7.289658261,-7.454524609062989
-5.598470606,-5.765275918663115
-7.845858996,-7.946403928738895
-6.367464382,-6.50837969027669
-6.717130695,-6.775057004531946
-6.557944085,-6.571141970039869
-6.776723631,-6.798052369155597
-6.73019216,-6.569347991877583
-7.320679242,-7.393450030506011
-6.320660797,-6.293942808573339
-6.611550516,-6.618791173097676
-7.45510349,-7.416363210885707
-7.051558632,-7.047873995301021
-6.524746194,-6.4719834621009
-7.557418302,-7.489505834961235
-5.997933756,-6.042427356037791
-7.382176975,-7.447811035256088
-7.269521836,-7.303455092963868
-6.797676398,-6.848527926751603
-7.020537651,-6.9628517830647425
-7.182717513,-7.274398963550903
-5.12390403,-5.321407770717721
-6.479847407,-6.628005698154617
-7.921778764,-7.799985562359918
-6.175079881,-6.170237683268932
-6.675769388,-6.714605713790555
-7.707897268,-7.851056789465678
-6.926658369,-6.999899546103219
-7.765313293,-7.793679797043436
-7.199316459,-7.365019172334795
-5.802011775,-5.981756604912199
-6.7231172,-6.783483205405562
-6.610189947,-6.849180275005007
-7.97783422,-7.994974277393888
-8.186001324,-8.298652045938839
-6.19548842,-6.067625237903936
-7.090743028,-7.116342731572157
-7.085572865,-7.102045582843004
-5.65860777,-5.792431259512092
-6.811826319,-6.783428839280453
-7.053191315,-7.126698641981798
-7.960146819,-7.93621147958477
-7.130471652,-7.043715306856321
-6.188685574,-6.252436022514543
-7.611024733,-7.534679644634817
-6.467874397,-6.478724513829888
-5.896435286,-5.826953014199533
-7.404490311,-6.702972086050019
-7.722591417,-7.751686586217278
-7.740006704,-7.65832276348298
-6.924753572,-6.945211266092089
-7.706808813,-7.74470130128329
-7.714972228,-7.781122611683609
-7.074960424,-7.148986940196661
-6.421070812,-6.342625517394363
-7.190608816,-7.303128925548865
-6.221067124,-6.239823597649325
-6.015893271,-5.9747707601405216
-8.006678289,-7.9961701885354195
-7.722319303,-7.577624573978563
-7.055096112,-7.032462385077999
-7.983004383,-7.778214343610558
-7.024891473,-6.98660802326829
-7.200404915,-6.981443626151166
-6.811282091,-6.929500592009865
-7.399048034,-7.3300377492463324
-8.383828102,-8.072545278025649
-6.498623263,-6.635344694671994
-7.163125315,-7.346346111550003
-7.01128578,-7.025775863561626
-7.667080189,-7.787210943295958
-6.733457527,-6.654290171524612
-5.670852894,-5.6585298292063095
-6.904072918,-6.907184891538306
-7.620276604,-7.499426685807965
-7.418640232,-6.638361837554854
-6.581345877,-6.579405161826915
-6.268142822,-6.2885064300932045
-7.17754735,-7.01232126827883
-6.908698854,-7.0235198391173
-8.028175284,-8.018294528640194
-7.654562951,-7.716379618643963
-7.324216722,-7.367139256670425
-7.095641078,-7.106693517952789
-7.253739232,-7.34349215096541
-5.578062067,-5.6729094548758825
-7.584085461,-7.4751273920101395
-7.305985093,-7.385703579251728
-7.024075132,-7.137271995558222
-7.88558762,-7.933765291780789
-6.692368333,-6.768288858003969
-7.25999785,-7.0206114756037294
-6.675769388,-6.612729700465722
-6.341885678,-6.082439514055108
-5.525816205,-5.478389531006009
-7.387891366,-7.14284406738724
-6.444200491,-6.445725953075107
-6.840398275,-6.836078931617088
-6.333722263,-6.23245728812608
-6.277122579,-6.206063586294774
-7.561772124,-7.6037991976053405
-4.791653004,-4.831073822262488
-7.77211614,-7.866875530541914
-6.229774767,-6.321206225299022
-7.577826842,-7.360208210472264
-8.669275544,-8.697153128481839
-7.723407758,-7.496545564987321
-7.303808182,-7.394537253644988
-6.484201229,-6.585928727318907
-6.625428323,-6.60824475240296
-7.325577291,-7.248903470604444
-6.594951571,-6.661466073026924
-5.942422528,-5.971536067105371
-5.351119105,-5.376045706340784
-6.906249829,-6.939204244458978
-8.000963898,-7.744483863572775
-7.076320993,-6.976007416898815
-6.573182462,-6.428601477050259
-7.91796917,-7.986467000509567
-6.033580672,-6.064091558866911
-5.414249521,-5.442344987268644
-6.173719311,-6.113345599152339
-7.695652144,-7.53606584049796
-7.234691261,-7.127242260124236
-6.540256684,-6.635154422786306
-8.41539331,-8.286285405388767
-8.022188779,-7.762314004278975
-5.959293588,-5.613596827237005
-7.7517076,-7.7427171561069
-6.356035599,-6.3637457888410545
-7.162581088,-7.024253728334622
-6.130181093,-6.263091343597493
-7.489389836,-7.568165825755548
-6.065417994,-6.1429197168151495
-7.353060791,-7.387443130794493
-6.46950708,-6.522867491854807
-7.832797531,-7.770495207004912
-7.958514135,-7.937135599142002
-6.554406605,-6.311882846331005
-6.386512352,-6.31318757452117
-7.693747347,-7.596107175598278
-7.909261526,-7.766635635524544
-6.095350519,-6.250805107778688
-7.507621465,-7.653022624313496
-6.688558739,-6.785331532294374
-6.022696118,-6.015571327146345
-6.060247831,-6.195408237699137
-5.615885893,-5.623545703104958
-6.452363907,-6.487830372283571
-7.388707707,-7.33968686528072
-6.14895695,-6.166704016317452
-7.425715193,-7.394020822227498
-7.75524508,-7.515327218754806
-7.608847822,-7.6414438462550915
-6.161474188,-6.2290867249358035
-6.028682623,-5.958950668074767
-6.720940289,-6.8472775918234525
-7.363945346,-7.308401972775276
-6.762301596,-6.8272450295082905
-7.267072811,-7.335365150482698
-6.897270072,-6.937220026910917
-7.251562321,-7.273502000885035
-7.346257945,-7.453845098618942
