,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.36305679401026436,0.7570975779440005,0.16516481631277458,0.17651131938598452,0.3370011696409294,0.5917046374468492,0.7115001331933741,0.7067273754820649,0.6140277462712769,0.37025334636753615,0.00030842788573093305,0.8548870780315849
lumo (eV),0.3553444829038953,,0.038876638006944964,0.021333071888315236,0.017674657164783003,0.03452419284403763,0.019264622864244463,0.046914661991563134,0.04828427662042101,0.02570533705354583,0.9770028759117959,0.0002642398774563848,0.06143353719806077
vertical_excitation_energy (eV),0.7302029298949775,0.036186674709488664,,0.15402756948986351,0.19180300850630727,0.3337301694683067,0.8947246033716173,0.7784729362478631,0.7720088168131614,0.9025077028716235,0.03496767442455051,0.0005893377019625667,0.8898842995521348
dipole_moment_norm_S0 (D),0.14099221069915846,0.010240077484426124,0.15102635805148457,,0.9189591863337305,0.49526156344092476,0.11053564023395657,0.12012004897511042,0.12185715161025179,0.12600945891875537,0.01279209554360794,0.00020845835951388558,0.16616280983061582
dipole_moment_norm_S1 (D),0.14504815646326008,0.01026098923613461,0.17388319777893835,0.9196448064345059,,0.46918330236566286,0.11569552000464733,0.13600751815038736,0.13740370325748963,0.1345439282896813,0.011696497645664494,0.00022077964330513566,0.177379723708453
dipole_moment_norm_T1 (D),0.3365202522526419,0.02132617945714943,0.3483555567348473,0.5247411661276234,0.49004608434143726,,0.2979683040920835,0.22850642040536373,0.23147574447317654,0.3128005281273002,0.023620207501710677,0.000706731145181938,0.42100449387643013
0-0_S1 (eV),0.5735719393741308,0.02142523447917033,0.9008362341032543,0.10198763774211583,0.10850471547207763,0.27439895193423947,,0.6449911638472141,0.6357852303517785,0.9940381048964875,0.01783522739749044,0.000585680138723288,0.7151347944158961
0-0_T1 (eV),0.7126858110105716,0.053120219172227534,0.808203188687013,0.14343608141906927,0.17583524553542806,0.23780087617417622,0.6887844224815227,,0.9932771853339857,0.6995505800724156,0.052723392534895885,0.0002944868136114387,0.8384911714386523
adiabatic_T1-S0 (kcal/mol),0.7082151089170391,0.053645766445790666,0.8013152920309747,0.14583732650500958,0.17747520614859957,0.2411487004747659,0.6804018237945885,0.9932866793502964,,0.7003113799420773,0.05130239537377845,0.000283241787739974,0.830772366830506
adiabatic_S1-S0 (kcal/mol),0.5948131287595098,0.02843783404138267,0.9081764727912257,0.12976222835953632,0.1436052444193341,0.29913921731073134,0.9940255926600461,0.6647460517154471,0.6647791167592074,,0.023496045275608335,0.0003680264639348563,0.7406860777171766
reduction_S0 (kcal/mol),0.36013040167903565,0.9784362143119762,0.03913442967053482,0.02135362070617497,0.018038255786112622,0.035085322948712805,0.01520461919118865,0.0490755407607284,0.04865077342504076,0.02202770379809771,,0.00026137502336953666,0.06763960972703154
oxidation_S0 (kcal/mol),8.263044247558415e-05,1.2349761988605934e-06,0.0001666105977484733,8.664963668802983e-08,5.361994165342665e-07,0.0003974562846613683,5.528094557916141e-05,1.3362804085481628e-08,4.1237411670946855e-06,4.446383733602843e-05,3.2543660379746875e-05,,0.00010958848698616741
lumo-homo (eV),0.8528409377395462,0.05958626786511534,0.9185612927248631,0.20265693969434517,0.23155381981332046,0.4266060025516346,0.7483071084726276,0.833844038006712,0.8264999394080901,0.7649010292580294,0.06362833852255945,0.0003609481978206208,
