Real,Predict
-104.7005042,-102.86095534273696
-114.3264922,-114.22016684705943
-113.9619095,-112.15261805229731
-111.7392726,-111.94340181301529
-113.2283515,-111.66649795293962
-103.36391,-104.0793323135018
-110.0418608,-107.894452088055
-103.2729212,-103.88857631799011
-119.0346922,-115.04472500515847
-115.9655457,-115.58007245892604
-107.7050173,-108.83592519874418
-116.3476987,-111.12499707704416
-114.5442378,-115.59853270269637
-122.8832049,-121.97347481611071
-114.693585,-116.76768231905132
-115.7867057,-114.79858823310899
-111.7179373,-112.54643688757649
-112.2274746,-112.46644242252702
-116.5001834,-110.9465479257883
-120.2344895,-119.94899995363056
-110.8187169,-111.24191205224768
-111.694092,-111.6049637768873
-111.7160548,-111.93109496875945
-109.9439694,-109.03283461638377
-112.2852054,-110.92193425989004
-111.0496402,-111.1557641876837
-112.2350047,-112.3064535376549
-111.2516981,-111.4019009371198
-115.5269169,-113.549444174318
-117.0900419,-118.08451399863594
-116.3464437,-116.17080066661802
-120.4064269,-120.34897218842426
-110.4076985,-110.57118937950625
-121.6545423,-114.3616954881612
-98.13864255,-98.71970435369819
-107.8098113,-108.26365723482255
-111.240403,-111.008082124454
-124.1124951,-121.46274102824138
-113.162463,-111.5988103547594
-111.7499403,-106.51608623241805
-108.8596338,-108.90361281953781
-113.1524229,-107.18680890515948
-115.4635385,-115.42008355144051
-116.6777684,-117.17380797597292
-106.1651102,-106.46070547849364
-107.3498472,-107.43909909933689
-106.0967117,-106.42993836785408
-115.2959936,-114.78628138885317
-119.2028647,-120.13360252701432
-107.5939482,-105.5930733881126
-106.4085837,-107.49447985326131
-131.1023178,-121.08738248195932
-123.2302174,-122.58266329018642
-113.090927,-112.92179543385853
-111.1318439,-112.01108941119551
-107.9183703,-107.22988283744147
-118.5640605,-119.09367470750534
-101.7330141,-102.36252839912346
-106.0898091,-106.19610844006041
-105.0111211,-105.57461312172889
-119.5310519,-120.0659149062207
-111.453756,-112.76795997111432
-123.4548656,-114.11555871611172
-122.4062981,-120.49050082952603
-111.4776014,-111.03269579035226
-115.4089452,-115.38316304128645
-112.4878908,-111.71572530734953
-109.4262744,-109.64202309045949
-104.7783153,-105.11310671088285
-111.2278528,-111.66034453081173
-98.92867638,-99.46426804674778
-121.9689243,-119.48134012065663
-113.8332701,-114.18939975903326
-109.2562195,-109.802011997945
-122.9346607,-120.54588160606386
-116.4662979,-116.85998360574318
-110.5921862,-110.95885477004413
-120.8500758,-120.98892777313954
-104.5586871,-105.2915558621387
-109.3170879,-110.66349066619813
-116.0502594,-116.5584660797693
-115.3154464,-115.83851605261796
-110.3374175,-110.2512115871486
-116.2378846,-116.3615566621297
-103.3802252,-101.53797026363782
-107.5286872,-107.56216747405495
-118.6431266,-118.45371912279008
-103.6293463,-103.55013828186213
-113.1398727,-111.84494710419548
-117.4678023,-117.40763790376657
-118.665717,-118.8659982018396
-117.0185058,-113.50637024203601
-106.8591351,-107.69754269302881
-109.4840053,-112.57720397560264
-106.7932467,-106.81145035887744
-113.3595009,-113.47560315400985
-123.4956537,-122.50266884775036
-118.6255564,-118.34295759232786
-106.4060736,-106.84221744690359
-118.4799743,-118.19527552909817
-124.2656073,-122.24422525405845
-106.9833819,-107.92521919869458
-113.0476289,-112.98948305465217
-105.1209352,-105.3900105483451
-109.0453765,-107.58678113995319
-114.8592474,-114.53399121728916
-110.4560167,-110.86040006122431
-111.8246138,-112.43567533450087
-111.4311657,-111.92494154663154
-105.839433,-106.06688664321445
-112.9986832,-114.46630361910891
-105.8356679,-106.20841528431625
-108.5540369,-109.01437435000003
-112.6598283,-111.93109496875945
-111.3295092,-111.80802659404142
-113.5785015,-111.61727059852974
-105.7591118,-106.12226741975228
-108.9336799,-108.04828757341261
-111.8478317,-111.62342402065764
-122.7828035,-120.34897218842426
-111.625066,-111.31575307255584
-104.4137325,-104.8423562729351
-117.5876565,-117.6599280753306
-118.3613751,-116.51539214748729
-120.2872002,-120.78586493337204
-124.0089561,-123.7825799945675
-120.0644345,-119.05675419735128
-117.6698602,-115.64776005710628
-107.5418649,-107.82676448987476
-122.816689,-119.99207388591255
-118.9361733,-116.57692632353962
-117.7112758,-118.10297424240628
-115.5357021,-114.77397456721073
-123.0865179,-110.54657569099459
-108.3042883,-108.81131153284593
-111.5761203,-111.008082124454
-114.8912503,-114.66321301413511
-110.5557906,-109.94354063904679
-101.688461,-101.99947667448383
-107.3818501,-106.8360640247757
-119.9891334,-117.3645639714846
-110.651172,-110.8973205713784
-115.0977008,-113.23561980408826
-102.2582391,-102.70096645786484
-101.5660967,-102.04870402889374
-113.4981803,-116.73691523102515
-100.8570115,-101.2795266473325
-107.6880745,-107.98675337474688
-114.7801812,-114.54014463941706
-115.9021673,-114.92165660782703
-109.7042609,-108.7928512664622
-111.0565428,-110.35581969548291
-102.2582391,-102.79326774455673
-109.1934686,-108.6020952935639
-105.3976667,-105.49461867929281
-104.8454587,-104.8423562729351
-101.7825873,-101.34721426812614
-117.2983748,-116.68153445448733
-115.0581677,-113.45098946549818
-106.6031114,-103.85780922996395
-117.0348211,-114.67551985839093
-119.0748528,-117.81991698281611
-110.6317192,-110.84193981745399
-106.711043,-106.76222300446754
-111.7329975,-111.64803770916929
-114.3904981,-114.1094053165972
-106.3433227,-106.42378494572615
-116.9206144,-115.83236263049004
-117.8719181,-117.90606484738008
-106.7700288,-108.12828201584867
-103.5339649,-103.51937117122257
-114.7795537,-113.89403563257389
-109.397409,-109.02052777212795
-108.7140517,-108.68824315812788
-113.3406756,-112.69411892819278
-111.7468027,-112.52797662119274
-99.68419721,-97.51363422718919
-110.2991395,-110.6511838219423
-112.3441913,-110.10352952391891
-103.1599696,-103.54398485973422
-105.5727417,-105.46385159126665
-106.0879266,-105.15002722103692
-108.7717826,-108.5467145170261
-107.0862934,-107.29757045823511
-113.7083959,-113.82019461226574
-109.8680408,-109.94354063904679
-109.3490908,-110.01738165935494
-110.5739884,-111.08807656689008
-100.9116048,-101.48258948710001
-113.9562619,-113.22946638196035
-97.67428589,-97.51978762670369
-113.506338,-112.12185096427115
-109.8692958,-110.57118937950625
-104.6151629,-104.23316777624599
-112.3454463,-112.6510449959108
-104.1928494,-104.22086095460357
-106.4826297,-104.45469085978384
-112.6999889,-113.02640356480624
-106.5303204,-105.45769816913874
-120.3217132,-111.88186761434956
-117.9133337,-117.2168819082549
-106.8603901,-106.81760378100536
-109.7318713,-109.5497218037676
-121.3759283,-119.98592046378462
-106.359638,-106.8360640247757
-112.7859576,-113.34638135716388
-108.8884992,-108.57748160505227
-109.1501705,-109.22359061189545
-119.1005807,-119.04444735309546
-112.3190909,-113.22331295983244
-112.4941659,-113.37714844519004
-114.7889664,-114.64475277036478
-115.8839696,-116.69999472087108
-105.8632783,-106.31917683739185
-118.5784932,-118.13989475256034
-102.6071341,-100.12883729736131
-99.22737066,-97.83361199693343
-108.7742926,-108.50979400687203
-106.7537136,-107.07604737469728
-119.2618505,-118.33065074807205
-106.6683724,-107.30987730249093
-106.5905613,-106.78683667036579
-102.0317084,-102.35022155486763
-119.3955099,-117.99221271194405
-115.7998834,-115.63545321285046
-99.88939266,-99.7288650625676
-110.0311931,-110.62657013343065
-112.3642716,-111.88802103647747
-110.0575485,-110.13429661194508
-108.4379478,-108.8974593974099
-104.5160165,-105.0823396002433
-108.6964815,-108.94053332969189
-106.7593612,-106.85452429115942
-110.9498663,-111.72803215160535
-106.4983174,-107.29141703610719
-104.8027881,-104.5900660787577
-100.5388645,-100.68264501751261
-110.2564688,-110.30659236368642
-107.5952032,-108.0975149278225
-102.2576116,-102.15331215984145
-104.307056,-104.93465755962698
-101.3659213,-101.25491298143425
-113.3205953,-113.4571428876261
-107.9911614,-106.58992727533959
-109.0416114,-109.36511925299725
-99.5229274,-99.77193899484959
-108.6764012,-108.71285682402615
-103.6268363,-103.32246177619638
-104.373572,-104.55314556860363
-115.6831667,-115.02626473877474
-113.0815144,-113.90018905470178
-120.7779122,-119.70901660370899
-106.2190759,-106.22072212857206
-104.2919958,-103.70397374460633
-105.6166673,-106.02996613306038
-99.98414651,-100.19652491815494
-111.5039567,-110.71887142012254
-117.7972445,-116.63230710007745
-104.0579349,-104.56545241285946
-110.5501431,-109.6543299347153
-105.3957841,-106.02381271093246
-110.1108868,-110.64503039981439
-115.2131624,-113.47560315400985
-101.2366545,-101.42105528843429
-109.2286091,-109.13128932520358
-109.4821227,-109.70355728912521
-110.3819706,-109.36511925299725
-110.7333757,-110.41120047202074
-113.9813623,-114.63859934823687
-109.1953511,-109.26666454417743
-107.5512775,-107.88829868854049
-108.8106881,-109.66048335684323
-114.17338,-114.66936643626302
-114.1125116,-113.48790997565227
-107.7213325,-108.39903245379641
-111.7951209,-111.38959409286399
-105.0042185,-104.92850413749909
-113.2854548,-112.94025570024228
-105.0067286,-107.02682002028737
-111.4738363,-109.51895471574146
-106.6482921,-106.45455205636573
-104.6484209,-104.94081098175491
-106.6351144,-107.37141147854327
-106.7198281,-107.48217303161887
-113.4542547,-113.13101167314056
-111.9325454,-112.15877147442521
-100.0506625,-100.49804244412884
-107.6830544,-107.9436794424649
-100.8268911,-102.39944890927754
-105.040614,-105.32232295016486
-96.66713394,-97.00905386144778
-105.2778124,-106.38071101344417
-104.6346157,-103.26092757753065
-109.603232,-109.58048891440716
-101.1237029,-101.47028264284418
-113.3224778,-112.34337404780898
-108.7410346,-108.9959141062297
-108.697109,-107.46986618736305
-115.4817363,-114.5586049058008
-102.738911,-105.01465200206306
-104.5229191,-104.4362306160135
-114.4990572,-112.24491933898918
-109.7764245,-108.66362946961624
-104.0071067,-101.03338989789641
-108.3318987,-108.87899913102618
-103.9688287,-104.26393488688555
-111.1500417,-110.74348510863419
-109.6509227,-108.92822648543606
-115.1548041,-114.53399121728916
-111.5491374,-111.98032232316935
-103.3513598,-103.11324551430097
-111.274916,-110.39274022825039
-107.3874977,-107.30987730249093
-102.7470686,-102.85480192060903
-110.4359364,-108.85438546512792
-111.1029785,-109.17436325748557
-106.2786893,-105.05772593434504
-108.4787358,-108.31903801136035
-101.1983764,-101.3779813561523
-102.076889,-102.12254507181528
-101.4964432,-101.84564121173963
-113.8652731,-113.80788776800989
-105.5018332,-105.54384603370272
-108.7127967,-108.8974593974099
-108.3720593,-109.19897692338381
-101.1808062,-101.51950999725408
-106.3433227,-106.097653753854
-111.7599804,-110.23275132076488
-109.8586281,-110.06045559163692
-105.2414169,-105.0331122458334
-108.8357885,-109.15590299110183
-97.74770444,-98.25204449811086
-104.6791689,-104.79928234065312
-119.1118759,-117.1122737773072
-110.6034813,-109.58048891440716
-119.1739992,-117.5676267886387
-107.1553194,-107.52524696390086
-110.9768492,-111.28498598452967
-109.6866907,-109.845085930227
-105.0249263,-104.91004387111535
-109.3767012,-109.30973847645943
-107.969826,-107.98675337474688
-100.1868319,-101.34721426812614
-101.2190842,-101.55643050740815
-121.3407878,-120.61356920424409
-104.3396865,-103.93780367240001
-107.8324016,-108.06059441766843
-104.9389576,-104.58391265662979
-102.9735994,-102.75019378966134
-105.2307493,-104.80543576278103
-100.5112541,-102.65789252558285
-104.0522874,-103.24246731114691
-102.4822598,-103.89472974011802
-102.2023908,-102.39329548714962
-102.6654925,-102.79326774455673
-104.1802992,-103.94395709452792
-108.5383492,-109.35281240874141
-104.3666694,-104.51622505844956
-108.3118185,-106.62069436336576
-103.326887,-102.731733545891
-106.8892556,-106.79299009249371
-103.5345924,-103.84550238570812
-105.0876772,-104.8362028508072
-102.5381081,-102.81172798832706
-104.5724923,-103.86396265209186
-103.9537684,-103.31630835406847
-101.1111527,-101.64257837197212
-105.770407,-106.47301230013606
-103.1769123,-103.02709764973699
-101.1469207,-101.68565230425412
-106.8911381,-107.9375260429504
-119.9364227,-120.43512005298822
-113.3067901,-111.99262916742518
-108.9895282,-109.6543299347153
-115.0688354,-115.4077767297981
-116.5008109,-114.58321857169905
-115.7252098,-116.15849384497558
-110.9391986,-110.62657013343065
-113.1837983,-111.69726504096579
-97.45277521,-96.92905941901172
-102.8336649,-103.2301604895045
-103.1405168,-102.8794156091207
-105.5482688,-105.47000501339456
-112.9152245,-111.56188984460532
-116.2868303,-116.97689855833332
-115.7998834,-116.65076736646117
-113.3218503,-113.98018349713786
-104.2838382,-104.8423562729351
-108.4360652,-109.37127265251173
-106.115537,-105.79613620526672
-102.5500308,-102.83634167683871
-108.0746201,-108.92207308592157
-101.7744297,-103.0332510718649
-96.67466405,-96.90444573050007
-104.128216,-104.0916391351442
-114.7607284,-113.26638689211443
-100.543257,-100.31343987074507
-105.6492978,-105.90074433621443
-112.2343772,-111.88802103647747
-109.8598832,-110.15275687832882
-111.4531285,-111.5988103547594
-107.3316494,-108.26365723482255
-101.619435,-101.09492407394873
-107.753963,-106.17764819629008
-109.7751694,-110.23275132076488
-111.0151272,-110.08506928014856
-116.5936822,-114.4539967748531
-102.5481483,-102.21484633589377
-104.0322071,-102.6271254149433
-106.5416156,-106.50993281029015
-104.7839629,-104.49776479206582
-116.2140393,-114.22016684705943
-114.9219983,-115.02626473877474
-112.7326194,-112.42336849024504
-104.2581103,-104.6331400110397
-105.4340622,-105.56230630008645
-107.7094098,-105.83305673803419
-96.61065813,-95.29840336919737
-109.014001,-107.19911574941531
-104.3942798,-104.96542464765315
-106.2058982,-105.90689775834234
-102.9328113,-103.47629723894059
-108.317466,-108.4913337404883
-102.2770644,-102.33791473322522
-100.6706414,-100.24575224995144
-102.6472947,-102.79942114407123
-94.6842055,-95.11995421794151
-107.8926424,-108.0975149278225
-109.1821734,-107.45755934310723
-108.2001219,-108.8974593974099
-108.1210557,-108.55902136128194
-117.1735006,-117.73376911825214
-102.7702865,-103.40860964076035
-105.7214613,-106.34994392541802
-97.30468308,-97.51978762670369
-109.742539,-108.38057221002607
-105.8896337,-105.9315114242406
-105.0908148,-105.53153918944687
-111.1500417,-109.50664787148561
-104.6597161,-104.76236180788565
-101.6796758,-101.61181128394595
-104.7136818,-105.63614732039458
-97.16223854,-97.25519061088387
-114.6120088,-114.58937199382697
-102.6039966,-102.57174463840549
-107.2143052,-107.06374053044144
-115.0180071,-115.61699296908012
-113.6268197,-113.92480274321342
