Real,Predict
-8.650227574,-8.920885139187448
-8.727235797,-8.863859204770861
-8.640975702,-8.808817492024051
-8.659479445,-8.755080470367098
-8.51825235,-8.754373759083773
-8.603151876,-8.745838896929722
-8.510905276,-8.744697290060309
-8.591450979,-8.72172926648128
-8.773767267,-8.698462250833199
-8.669275544,-8.697211921150156
-8.526415766,-8.680359642469309
-8.532674385,-8.68027810035909
-8.650227574,-8.65480941741398
-8.407774122,-8.649509102281165
-8.599614395,-8.638582303574658
-8.458659415,-8.628742745999165
-8.756896208,-8.623089081722068
-8.521789831,-8.617870308699473
-8.797985401,-8.615016295857515
-8.558525202,-8.61498911515411
-8.463829578,-8.603138159537021
-8.467367058,-8.601072395757026
-8.51607544,-8.593325782664937
-8.608322039,-8.58261643391727
-8.573219351,-8.580414762288655
-8.758256777,-8.573130229817648
-8.599886509,-8.566742673553817
-8.544375281,-8.560327936586576
-8.392263632,-8.546574301409933
-8.691588881,-8.54573169094116
-8.787100847,-8.544916256844207
-8.439611444,-8.532467317089004
-8.305187196,-8.527846528204524
-8.367501271,-8.523796547086338
-8.351718667,-8.523307285761849
-8.491585192,-8.522410309554676
-8.553355039,-8.521567699085903
-8.586280816,-8.520181461554241
-8.415121197,-8.51800697496062
-8.482061207,-8.515288865635696
-8.402603959,-8.510559353937591
-8.390086721,-8.495310762747245
-8.705466688,-8.482671553736612
-7.814021674,-8.482073569598498
-8.343555251,-8.481557127570602
-7.817559155,-8.478730295432053
-8.316071751,-8.476311178176186
-8.300833374,-8.474000783733945
-8.410495261,-8.464351495413887
-7.811844763,-8.463617607758739
-8.442876811,-8.458589103991574
-8.359337855,-8.452663624017239
-8.308180449,-8.42597179209249
-8.446958518,-8.420481212035831
-8.537572435,-8.412163795509034
-8.285322884,-8.41156581137092
-7.73265963,-8.407651733769764
-8.454305593,-8.406673215452376
-8.104095052,-8.406102412017667
-8.388998266,-8.405123893700274
-8.311173701,-8.404444367451939
-8.321786142,-8.40387356401723
-8.294846869,-8.403846383313825
-8.291309389,-8.403465849134548
-8.716079128,-8.402731957147815
-8.413760627,-8.40148162746477
-8.54709642,-8.399361502277962
-8.50763991,-8.390119928840587
-8.482877548,-8.387945442246965
-7.795517932,-8.378975680175241
-8.400971276,-8.375985763816253
-8.357160944,-8.372832754573652
-8.683425465,-8.365466679992428
-8.662744811,-8.360791529701135
-8.482605434,-8.355436857493093
