Real,Predict
-3.911364659,-3.9903449118542174
-4.413686849,-4.406047083499478
-4.322256591,-4.390302432650724
-4.31300472,-4.294316962264839
-4.300759596,-4.3586234347517285
-3.965243204,-3.9326235525975406
-4.133953798,-4.221013549520475
-3.956807674,-3.9286941645954574
-4.450150107,-4.60937259819368
-4.473824013,-4.476830269536357
-4.175587219,-4.120096021081305
-4.276813576,-4.493333700872522
-4.474640354,-4.415450515000348
-4.756550316,-4.775572170330521
-4.526341988,-4.421900134028456
-4.439265552,-4.469106992052836
-4.339671879,-4.2933955887349
-4.336134398,-4.315400162410274
-4.268922274,-4.4999188141027355
-4.667024855,-4.661186328186291
-4.28198374,-4.254562393319768
-4.298038458,-4.292365819843278
-4.312460492,-4.293314292213637
-4.184294863,-4.216786069955219
-4.267833819,-4.317893290277337
-4.278174146,-4.264534909106562
-4.329059438,-4.3157253528138675
-4.2890587,-4.273260860959824
-4.384026438,-4.45788790801397
-4.584574355,-4.525392091174494
-4.499946943,-4.49327950319168
-4.684712256,-4.66861151410664
-4.252323329,-4.236812398050071
-4.419945468,-4.7225118807229185
-3.72823203,-3.706968271665101
-4.15028063,-4.124621592209733
-4.271643413,-4.272773077513704
-4.733964865,-4.828659563097085
-4.297766344,-4.3557780133221105
-4.073000293,-4.2947776511890785
-4.178580472,-4.169958600015275
-4.102660704,-4.355344427556833
-4.466749052,-4.455150886264576
-4.544301503,-4.507587893905414
-4.070551269,-4.053594512290523
-4.113817373,-4.1047578571574075
-4.069190699,-4.0506406954992205
-4.438721324,-4.447915392227176
-4.675188271,-4.616635195390042
-4.032183214,-4.115299457230125
-4.116266397,-4.0641090135228195
-4.71736592,-5.130517873725079
-4.783489588,-4.790558045010403
-4.356270824,-4.352688702328702
-4.315997972,-4.26808490902421
-4.104565501,-4.129309756380687
-4.629201028,-4.5890481785356565
-3.889323436,-3.8621926558046766
-4.058850372,-4.050342603936048
-4.031366872,-4.003759027878434
-4.672195018,-4.63080809190167
-4.349467978,-4.281986812813087
-4.409060913,-4.800259568074447
-4.690970875,-4.754976757949746
-4.272731868,-4.283016586023249
-4.465116369,-4.452793252599619
-4.302936507,-4.3266463409710205
-4.211234135,-4.1944292027172905
-4.010958333,-3.993705215570377
-4.300487482,-4.272231092068202
