,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.36291309065038824,0.7567624882764515,0.16486730045109832,0.1764543827030236,0.33700033210291436,0.5901007167959742,0.710733299729676,0.7059694216037086,0.6123158315227291,0.37007965471761783,0.9654482162361055,0.8548543385121863
lumo (eV),0.35507108419754896,,0.03847973031836038,0.019927896197973527,0.01654640237190208,0.03357537973314739,0.019166636195772857,0.04643674705487766,0.04762120390736124,0.025165719067296144,0.9769490183878312,0.34090775776997784,0.061035490722165964
vertical_excitation_energy (eV),0.728095899812001,0.03618283659158206,,0.15369807572000282,0.1916207584750268,0.33365460043594164,0.8943728154637449,0.7748024373038382,0.7684229432489397,0.902262602919915,0.03496313188949862,0.7288266758500845,0.886917178138988
dipole_moment_norm_S0 (D),0.14076126227323482,0.00991772773998334,0.1503070401610367,,0.9189572278965065,0.4952576064790901,0.10958559555299863,0.12008442663961427,0.1218176201587069,0.12566105469046618,0.012611988886300662,0.12659684575649233,0.16606741171134176
dipole_moment_norm_S1 (D),0.1436054853225136,0.008097574443042377,0.1723465180814321,0.9196089242386936,,0.4690888501807827,0.11252021557420255,0.13561461853840162,0.13700969025452836,0.13321358695089458,0.009921704290981048,0.13165061098500142,0.17683298473436881
dipole_moment_norm_T1 (D),0.33615398973071586,0.02018701048617022,0.3476674515480521,0.5232452095572404,0.4885471399878105,,0.29793283215137767,0.22843763856354826,0.23144553864412876,0.311859288923925,0.023202382730493798,0.3209971877158493,0.41944505793469955
0-0_S1 (eV),0.573080368884836,0.021414643819459567,0.9000654795391294,0.10045704562938196,0.10823729029182672,0.2740095504752137,,0.6447869028180078,0.635436307082428,0.994002327747087,0.01780995036871702,0.6264471206891702,0.71450631362966
0-0_T1 (eV),0.7123986057487222,0.052944723497958424,0.8081929890885414,0.14317964936462624,0.1756727666755935,0.23740354485891246,0.6879946235739318,,0.9932771740509734,0.6993794535784298,0.052591455997822556,0.7346858198732531,0.8377670563028088
adiabatic_T1-S0 (kcal/mol),0.7079316452357132,0.05354739815050591,0.8012829376606883,0.14569949056087816,0.1771308600193826,0.24081931202196705,0.6795094854204342,0.9932852581302523,,0.7000554546188505,0.051236934160719616,0.733380209544077,0.8301391959829946
adiabatic_S1-S0 (kcal/mol),0.594384533846732,0.02806827140901602,0.9072994903849447,0.12959353613261815,0.14353780445350506,0.29904689400741624,0.9940032630465665,0.6647332471561864,0.6647701390016645,,0.023320187924825264,0.63771970698869,0.7404386048386109
reduction_S0 (kcal/mol),0.3580584953194077,0.9782327923393688,0.037460287465167164,0.017231341455877236,0.013942967764265846,0.0281875919017186,0.014478484059215257,0.0478527515415651,0.046934467813450675,0.020153457468127245,,0.33911353334859395,0.06532817475623287
oxidation_S0 (kcal/mol),0.9652737611190796,0.3459671240444425,0.7543490986552093,0.14313169917954383,0.1574142944244168,0.3203286051354034,0.6338770250876689,0.7312505009209911,0.7298500055498215,0.6488331842123506,0.34825909524131093,,0.8282324517096987
lumo-homo (eV),0.8528024263324901,0.059340162355315584,0.9184503196072935,0.20265300529343666,0.23140908178451247,0.426580960456194,0.7476335671133032,0.8335406914627334,0.8261196731099172,0.7645461931569232,0.06311668074300947,0.8270297020931425,
