,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,-2.22E-16,0,0,-2.22E-16,-2.22E-16,0,0.709050233,0,0,0,0.96540927,-2.22E-16
lumo (eV),0,,1.11E-16,0,0.006286021,0,0,0.045436823,0.04660278,0.022065989,0.976563061,0.339243038,-2.22E-16
vertical_excitation_energy (eV),0,0.034877724,,0,0.14348043,0.328436151,0.894307524,0,0.76587003,0.902255699,0,0.727681816,0.8856041
dipole_moment_norm_S0 (D),0.136008104,0.009752942,0.14282911,,0.918954116,0.49081765,0.104389813,0.111987203,0.113392282,0.11892083,0.012339315,0.122405942,0.158367557
dipole_moment_norm_S1 (D),0.139817442,0.007403604,0.164786798,0.918874034,,0.46530222,0.108402543,0.126051348,0.127113143,0.128005441,0.009276348,0.127498735,0.16970351
dipole_moment_norm_T1 (D),0.3311699,0.000408536,0.000813464,0.517901602,0.486522792,,0.2768638,0.218728005,0.221046728,0.292749976,0.000258453,0.315229757,0.41008116
0-0_S1 (eV),-2.22E-16,0,0.892829339,0.086068146,0.09139112,0.26558634,,0.642503377,0.633210652,0.993988589,0.013407369,0.620147578,0.712171551
0-0_T1 (eV),0.703331846,0.044654512,-2.22E-16,0.096594358,0.111385655,0.236547293,0.642474219,,0.993232652,0.663239088,0.046138774,-2.22E-16,0
adiabatic_T1-S0 (kcal/mol),0.699063233,0.045736319,0.764584382,0.098104405,0.112751058,0.220272952,0.633183489,0.993232137,,0.662866243,0.045383765,0.007742696,0.823453205
adiabatic_S1-S0 (kcal/mol),0.590065244,0.02171715,0.900061316,0.102497339,0.110982114,0.286201188,0.993997106,0.663260893,0.662889101,,0.017478646,0.633376853,0.738760625
reduction_S0 (kcal/mol),-2.22E-16,0,0,1.11E-16,-2.22E-16,1.11E-16,0,-2.22E-16,0,0,,0,0
oxidation_S0 (kcal/mol),-1.88E+130,-1.19E+131,-5.20E+130,-6.33E+128,-1.56E+121,-2.50E+126,-3.91E+120,-7.51E+128,-1.45E+126,-2.53E+120,-6.78E+119,,-2.76E+130
lumo-homo (eV),0.852438523,0.057078077,0,0.143055854,0.156627245,0.410060787,-4.44E-16,2.22E-16,0.823458251,0,0.06181875,0,
