,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.352342024,0.744658594,0.122735778,0.128369637,0.331150477,0.585242083,0.708603706,0.704394733,0.605736801,0.356602663,0.965406066,0.852646695
lumo (eV),0.352349952,,0.034886085,0.01040284,0.008042317,0.019391186,0.016355585,0.045838054,0.04707199,0.022758708,0.976560874,0.339099869,0.057082703
vertical_excitation_energy (eV),0.725710827,0.036120888,,0.120504013,0.143479556,0.328427821,0.89283524,0.771137323,0.764603612,0.900059301,0.034926151,0.72665829,0.881874912
dipole_moment_norm_S0 (D),0.122741708,0.008690185,0.12050544,,0.918877148,0.480327592,0.086062037,0.096579993,0.109034304,0.102483442,0.010301578,0.109352811,0.154346496
dipole_moment_norm_S1 (D),0.128374224,0.00703806,0.143480598,0.919178831,,0.460186825,0.091381869,0.111383884,0.122806707,0.110978654,0.007638534,0.124794396,0.166440412
dipole_moment_norm_T1 (D),0.331807195,0.013129793,0.328426774,0.480323689,0.460181352,,0.265566218,0.217945219,0.22089005,0.286193104,0.015797552,0.31522584,0.41008157
0-0_S1 (eV),0.56830225,0.016352694,0.898644165,0.086068362,0.09138976,0.265575419,,0.642589671,0.633349752,0.994002299,0.01221251,0.620030112,0.712176585
0-0_T1 (eV),0.710607672,0.051213636,0.800008039,0.096590685,0.111380137,0.217936443,0.678023567,,0.993230784,0.691370796,0.051594628,0.733588704,0.835122398
adiabatic_T1-S0 (kcal/mol),,,,,0.112747875,,0.669767396,,,0.691235904,,,
adiabatic_S1-S0 (kcal/mol),0.590566141,0.023913397,0.905679434,0.102494131,0.110975103,0.286173246,0.993988085,0.663918006,0.663785745,,0.01911588,0.633422268,0.738892161
reduction_S0 (kcal/mol),0.356648335,0.977409535,0.033673046,0.010964766,0.008330663,0.019292788,0.012211917,0.047639836,0.046949499,0.01882633,,0.338008346,0.061814078
oxidation_S0 (kcal/mol),0.965081919,0.339092424,0.743719267,0.109346497,0.116938974,0.315186083,0.631192535,0.729982948,0.728955244,0.644899444,0.337990626,,0.825770386
lumo-homo (eV),0.852783099,0.059012314,0.909390241,0.143054101,0.156626926,0.410045111,0.739276808,0.833094612,0.825265994,0.759206464,0.063107027,0.826784932,
