homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-5.269212833,-3.670543891,0.898600039,8.886610423,16.65656041,23.94002073,0.631923516,0.098701684,6.010281202,18.20968367,-95.41274345,106.7223382,1.598668942
-4.84634789,-3.24142033,0.997700044,18.346464,21.27596271,30.14550937,0.691400353,0.192809271,3.084206735,15.95880889,-86.1921262,98.07463663,1.60492756
-5.565816943,-3.864016847,1.072500047,11.91862006,12.8798456,22.14799482,0.759520179,0.199554157,5.005011784,18.46382482,-101.3866291,117.6133844,1.701800096
-5.723370869,-3.977760441,1.101900048,12.27147382,13.37802865,23.77455714,0.797073459,0.281149675,6.544291361,18.98465729,-104.3371764,120.0449817,1.745610428
-5.578062067,-3.806056594,1.14670005,9.920778378,10.99796109,18.59856176,0.819001879,0.221906678,5.571652411,19.76716101,-100.5696124,117.5493784,1.772005473
-5.823780884,-4.043611996,1.093700048,10.92740001,11.81920002,19.49070003,0.742803633,0.207887372,4.776598508,17.78235004,-105.7522092,123.1091082,1.780168888
-5.613436869,-3.824016109,1.129700049,15.58930034,18.2864,25.9443,0.834694993,0.336316951,6.372353895,17.89655668,-101.2241043,115.9322877,1.78942076
-5.701057532,-3.89803108,1.159500051,15.0011,17.2889,25.0588,0.87259342,0.385470783,8.357164862,19.69060491,-102.5864263,118.9192306,1.803026452
-5.81643381,-4.007148739,1.113200049,11.59930057,12.37280002,20.56350001,0.786612156,0.245296497,5.796300633,18.8604105,-105.2244742,123.05828,1.809285071
-5.482277987,-3.661564133,1.175000051,16.33827808,17.66967617,25.46387536,0.814875117,0.288596343,6.496600677,18.86103801,-97.647303,114.0999615,1.820713854
-5.823780884,-3.991366135,1.179600052,12.22066447,13.1272621,22.77512939,0.856889664,0.331332642,7.193763176,20.22838012,-104.6741488,122.1232915,1.832414749
-5.484454898,-3.650407465,1.196500052,14.22970543,15.83812125,23.78065449,0.842852373,0.295499056,6.863693442,19.8851327,-97.20177161,113.930534,1.834047433
-5.531258482,-3.68387747,1.179800052,16.46856786,18.71327408,27.04822425,0.86583754,0.367121601,8.340222119,20.30179868,-97.14843334,114.590046,1.847381012
-5.470032863,-3.609046158,1.215900053,13.19773288,14.20485037,21.83597526,0.864046143,0.319109831,7.041278489,20.18821955,-96.43119056,114.0083452,1.860986705
-5.387854477,-3.499928499,1.279800056,17.33340972,18.50867321,25.13299776,0.917229507,0.350893003,7.846372536,21.58881964,-93.17065379,111.2008699,1.887925978
-5.745684206,-3.847145787,1.334100058,19.96509938,19.68696868,32.01829492,0.962874837,0.309070735,6.849888244,22.21193607,-102.7219683,120.0506293,1.898538419
-5.514387423,-3.614216321,1.263100055,8.118793452,8.790372732,15.75361253,0.939000949,0.314324165,7.835704883,22.73025851,-96.05280263,116.5190087,1.900171102
-5.326628858,-3.417477999,1.233100054,10.2916198,12.67032288,23.72817795,0.870086482,0.386383725,8.227898008,19.01226768,-92.77595063,105.2382794,1.909150859
-5.401188056,-3.489860286,1.257500055,10.14279274,12.08660086,24.4857138,0.783790334,0.328888243,7.39833111,18.69851318,-93.32376599,108.385237,1.91132777
-5.602008086,-3.688503406,1.252300055,9.466482667,10.75438031,18.88553164,0.901760583,0.370630782,8.033997727,21.05480948,-97.38437673,116.0063338,1.91350468
-5.866230647,-3.951909625,1.13630005,3.118265382,2.257770914,18.26471381,0.722411196,0.498961312,11.1627576,16.61455579,-104.760745,123.6914365,1.914321022
-6.019702865,-4.104293387,1.229600054,7.072700032,7.920300001,15.9311,0.89614391,0.342046853,8.133144149,21.44763011,-107.1233164,128.0017959,1.915409478
-5.77207925,-3.840887169,1.236000054,19.40367778,17.69087419,28.99218693,0.725497218,0.39838177,8.586833156,17.81498051,-100.0148945,116.3684065,1.931192081
