,homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),
homo (eV),,0.352360738,0.725726599,0.374591587,0.398922641,0.372656567,0.000748865,0.004265197,6.61E-05,0.122771322,0.128405905,0.331189194,0.568309087,0.703358917,0.357022143,0.821432692,0.883756099,0.00022091,0.000139715,0.000270231,0.000744355,0.000461008,0.000584734,0.001427787,6.47E-05,0.699092206,0.590081383,0.356628473,0.000101168,homo (eV)
lumo (eV),0.352360738,,0.034891242,0.130966888,0.161635072,0.136873475,0.100642644,0.082334119,0.105914295,0.008699176,0.006290736,0.013142289,0.016360918,0.044667729,0.977923126,0.39082926,0.438248479,2.86E-05,7.58E-07,3.48E-05,0.10068214,0.102147419,0.101382168,0.096839342,0.105955437,0.045757753,0.02172641,0.976568698,2.84E-06,lumo (eV)
vertical_excitation_energy (eV),0.725726599,0.034891242,,0.350991441,0.354272959,0.344281243,0.040590806,0.04966624,0.034482486,0.120531833,0.143512642,0.328454301,0.892844797,0.77115169,0.033524389,0.689901792,0.574869054,0.000294053,0.00029493,0.000339055,0.040561669,0.037909401,0.040108683,0.045850087,0.03445528,0.764622021,0.900077855,0.033681557,0.000188986,vertical_excitation_energy (eV)
zpve_S0 (eV),0.374591587,0.130966888,0.350991441,,0.999606874,0.999868289,0.062746153,0.050100116,0.055034477,0.095692005,0.112105158,0.149040315,0.28339868,0.243729818,0.115435097,0.370142617,0.299938108,2.76E-05,1.95E-07,3.22E-05,0.062684014,0.059887498,0.058728747,0.052023319,0.054975546,0.242490846,0.317423965,0.116474314,1.67E-05,zpve_S0 (eV)
zpve_S1 (eV),0.398922641,0.161635072,0.354272959,0.999606874,,0.999704173,0.052571808,0.050424076,0.048572829,0.092411631,0.112061869,0.128592596,0.295337234,0.267163155,0.143156405,0.381633001,0.340693201,1.50E-05,1.20E-07,1.88E-05,0.052518656,0.052751125,0.053120701,0.05248042,0.048520952,0.265255736,0.328969061,0.144171656,7.75E-06,zpve_S1 (eV)
zpve_T1 (eV),0.372656567,0.136873475,0.344281243,0.999868289,0.999704173,,0.05493484,0.044613634,0.055029625,0.092544473,0.111042875,0.152141347,0.289417747,0.250251985,0.118513709,0.377726447,0.307226691,3.10E-05,5.09E-09,3.41E-05,0.054876356,0.053322636,0.052229638,0.048233232,0.054970649,0.248833156,0.321982182,0.119626192,1.87E-05,zpve_T1 (eV)
total_electronic_energy_S0 (eV),0.000748865,0.100642644,0.040590806,0.062746153,0.052571808,0.05493484,,0.999999999,0.999999999,0.000501345,0.000140527,0.003699497,0.061640207,0.050525469,0.110933068,0.000920581,5.86E-05,0.001864406,0.003223089,0.001990101,0.999999984,0.99999998,0.995818482,0.999999989,0.999999987,0.047607446,0.048952432,0.110021203,0.001642031,total_electronic_energy_S0 (eV)
total_electronic_energy_S1 (eV),0.004265197,0.082334119,0.04966624,0.050100116,0.050424076,0.044613634,0.999999999,,0.999999999,0.000649644,0.000678738,0.002445763,0.061658128,0.069028213,0.091797582,0.000922564,0.0011946,0.003234673,0.003222992,0.003345503,0.999999983,0.999999979,0.992285322,0.999999988,0.999999987,0.065600442,0.055302607,0.091328026,0.003234679,total_electronic_energy_S1 (eV)
total_electronic_energy_T1 (eV),6.61E-05,0.105914295,0.034482486,0.055034477,0.048572829,0.055029625,0.999999999,0.999999999,,0.000577176,0.000170476,0.003525318,0.05625243,0.050542339,0.117149739,0.000211898,5.81E-05,0.002001023,0.003346662,0.001990054,0.999999977,0.999999973,0.995571772,0.999999985,0.999999983,0.047623779,0.043906251,0.116143433,0.001761696,total_electronic_energy_T1 (eV)
dipole_moment_norm_S0 (D),0.122771322,0.008699176,0.120531833,0.095692005,0.092411631,0.092544473,0.000501345,0.000649644,0.000577176,,0.918884401,0.48036386,0.086088882,0.096615683,0.010453927,0.068804253,0.080127958,2.46E-06,1.82E-06,3.19E-06,0.000503179,0.000640673,0.000443473,0.001117993,0.00057912,0.098133785,0.10252527,0.010314011,3.85E-07,dipole_moment_norm_S0 (D)
